dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
longbench_v2_qwen3,cactus,alpha0.03,case_001,0,ok,0.35489833641404805,1.354898336414048,734,541.0,0.059149722735674676,stop,False,11.732239218894392
longbench_v2_qwen3,cactus,alpha0.03,case_002,0,ok,0.7419786096256684,1.7419786096256684,1303,748.0,0.12366310160427807,stop,False,16.673701629973948
longbench_v2_qwen3,cactus,alpha0.03,case_003,0,ok,0.4101123595505618,1.4101123595505618,1005,712.0,0.06835205992509363,stop,False,13.592366881202906
longbench_v2_qwen3,cactus,alpha0.03,case_004,0,ok,1.570841889117043,2.570841889117043,2505,974.0,0.2618069815195072,stop,False,15.85236284788698
longbench_v2_qwen3,cactus,alpha0.03,case_005,0,ok,1.6059225512528474,2.6059225512528474,1142,439.0,0.26765375854214124,stop,False,7.04447725834325
longbench_v2_qwen3,cactus,alpha0.03,case_006,0,ok,1.325264750378215,2.325264750378215,3075,1322.0,0.22087745839636913,stop,False,22.482873602304608
longbench_v2_qwen3,cactus,alpha0.03,case_007,0,ok,0.5516431924882629,1.551643192488263,1323,852.0,0.09194053208137715,stop,False,17.631467239931226
longbench_v2_qwen3,cactus,alpha0.03,case_008,0,ok,1.3774417139256458,2.377441713925646,3774,1587.0,0.22957361898760764,stop,False,27.62584102898836
longbench_v2_qwen3,cactus,alpha0.03,case_009,0,ok,1.4698039215686274,2.4698039215686274,6299,2550.0,0.24496732026143792,stop,False,42.1883716029115
longbench_v2_qwen3,cactus,alpha0.03,case_010,0,ok,0.7960741548527808,1.7960741548527808,1648,917.0,0.1326790258087968,stop,False,18.31414349330589
longbench_v2_qwen3,cactus,alpha0.03,case_011,0,ok,1.620146904512067,2.620146904512067,2498,953.0,0.2700244840853445,stop,False,15.80600213399157
longbench_v2_qwen3,cactus,alpha0.03,case_012,0,ok,1.6836027713625865,2.6836027713625867,1160,433.0,0.2806004618937644,stop,False,7.254609894938767
longbench_v2_qwen3,cactus,alpha0.03,case_013,0,ok,0.6499189627228525,1.6499189627228525,1019,617.0,0.10831982712047541,stop,False,13.136516829021275
longbench_v2_qwen3,cactus,alpha0.03,case_014,0,ok,1.817891373801917,2.817891373801917,4411,1565.0,0.3029818956336528,stop,False,36.98861569818109
longbench_v2_qwen3,cactus,alpha0.03,case_015,0,ok,1.320754716981132,2.3207547169811322,2707,1166.0,0.22012578616352202,stop,False,28.607317874673754
longbench_v2_qwen3,cactus,alpha0.03,case_016,0,ok,2.4467515070328196,3.4467515070328196,5145,1493.0,0.4077919178388033,stop,False,37.018011789768934
longbench_v2_qwen3,cactus,alpha0.03,case_017,0,ok,0.7617728531855956,1.7617728531855956,637,361.0,0.12696214219759927,stop,False,8.254828948061913
longbench_v2_qwen3,cactus,alpha0.03,case_018,0,ok,3.0955,4.0954999999999995,8192,2000.0,0.5159166666666667,length,False,54.801175999920815
longbench_v2_qwen3,cactus,alpha0.03,case_019,0,ok,2.7342752962625343,3.7342752962625343,8192,2194.0,0.45571254937708905,length,False,58.99198831291869
longbench_v2_qwen3,cactus,alpha0.03,case_020,0,ok,1.0752587017873942,2.0752587017873942,2206,1063.0,0.17920978363123236,stop,False,28.411225528921932
longbench_v2_qwen3,cactus,alpha0.03,case_021,0,ok,0.7587939698492462,1.758793969849246,699,398.0,0.12646566164154105,stop,False,8.746991909109056
longbench_v2_qwen3,cactus,alpha0.03,case_022,0,ok,1.2466165413533834,2.2466165413533834,1493,665.0,0.20776942355889724,stop,False,14.404979727696627
longbench_v2_qwen3,cactus,alpha0.03,case_023,0,ok,2.104829210836278,3.104829210836278,2637,849.0,0.35080486847271297,stop,False,25.29836596129462
longbench_v2_qwen3,cactus,alpha0.03,case_024,0,ok,1.2742857142857142,2.274285714285714,1588,700.0,0.2123809523809524,stop,False,16.109439942985773
longbench_v2_qwen3,cactus,alpha0.03,case_025,0,ok,1.3756567425569177,2.3756567425569175,2714,1142.0,0.22927612375948628,stop,False,30.318032355979085
longbench_v2_qwen3,cactus,alpha0.03,case_026,0,ok,1.4091176470588236,2.4091176470588236,8192,3400.0,0.2348529411764706,length,False,79.22481069900095
longbench_v2_qwen3,cactus,alpha0.03,case_027,0,ok,0.9244663382594417,1.9244663382594416,1170,609.0,0.15407772304324027,stop,False,13.307717301882803
longbench_v2_qwen3,cactus,alpha0.03,case_028,0,ok,1.653125,2.653125,1699,640.0,0.2755208333333333,stop,False,16.27279653120786
longbench_v2_qwen3,cactus,alpha0.03,case_029,0,ok,2.146067415730337,3.146067415730337,3359,1068.0,0.35767790262172283,stop,False,25.0983457560651
longbench_v2_qwen3,cactus,alpha0.03,case_030,0,ok,1.5449438202247192,2.544943820224719,8155,3204.0,0.25749063670411987,stop,False,75.14540594583377
longbench_v2_qwen3,cactus,alpha0.03,case_031,0,ok,0.563919532770928,1.563919532770928,2411,1541.0,0.09398658879515466,stop,False,36.81552414689213
